Date,53_kW_mean,53_kW_max,71_kW_mean,71_kW_max,71A_kW_mean,71A_kW_max,83_kW_mean,83_kW_max,totalkW_mean,totalkW_max,totalkW_d-1,totalkW_w-1,totalkW_d/1,totalkW_w/1,71_71AkW_mean,71_71AkW_max,Month,Year,Day,WD,53_kW_time_max,71_kW_time_max,71A_kW_time_max,83_kW_time_max,71_71AkW_time_max,totalkW_time_max,CDD_15,HDD_25,NWD,temp_max,insolation,temp_mean,RH
08/06/2018,52.79,67.96,89.46,115.07,111.9,151.02,92.41,160.01,346.46,481.12,,,,,201.37,266.09,6,2018,8,4,09:00,11:00,11:00,08:00,11:00,11:00,1.2,9.1,0,20.8,0.6,16.1,83.25
09/06/2018,37.91,48.9,56.49,82.7,64.58,82.7,38.87,53.22,197.77,229.41,-148.69,,0.57,,121.11,154.62,6,2018,9,5,02:00,15:00,01:00,17:00,15:00,01:00,1.7,8.9,0,19.7,0.6,15.82,86.75
10/06/2018,32.76,42.79,46.89,75.51,63.68,68.32,31.72,37.4,175.04,220.42,-22.73,,0.89,,110.57,143.83,6,2018,10,6,21:00,00:00,01:00,16:00,01:00,02:00,4.1,5.9,0,24.5,2.3,19.14,83.25
11/06/2018,50.77,64.72,76.27,129.45,117.3,197.77,98.35,174.4,342.68,535.06,167.64,,1.96,,193.64,309.24,6,2018,11,0,18:00,16:00,17:00,14:00,17:00,17:00,7.1,3.2,0,27.8,6.2,21.58,71.25
12/06/2018,50.02,62.57,91.19,115.07,131.07,201.37,99.07,170.8,371.45,533.62,28.77,,1.08,,222.22,316.43,6,2018,12,1,08:00,15:00,14:00,11:00,15:00,15:00,8.3,2.2,0,27.9,4.9,23.46,59
13/06/2018,53.25,69.4,96.01,125.85,126.57,186.98,97.63,169,373.61,535.78,2.16,,1.01,,222.58,312.84,6,2018,13,2,18:00,15:00,15:00,09:00,15:00,15:00,5.8,4.2,0,24.2,0.8,19.96,83.75
14/06/2018,52.5,66.88,93.92,115.07,103.13,136.64,90.18,161.09,339.81,459.55,-33.8,,0.91,,197.05,248.11,6,2018,14,3,16:00,10:00,08:00,09:00,11:00,08:00,0.3,10.5,0,21.2,0,15.56,86.75
15/06/2018,53.51,68.68,89.14,111.47,100.68,133.05,83.06,142.04,326.32,443.01,-13.48,-20.14,0.96,0.94,189.86,244.52,6,2018,15,4,15:00,09:00,11:00,10:00,11:00,15:00,0.1,10.9,0,16.8,0,14.58,86
16/06/2018,40.6,52.5,63.07,75.51,63.25,93.49,35.89,55.38,202.8,250.27,-123.52,5.03,0.62,1.03,126.29,169,6,2018,16,5,05:00,03:00,03:00,10:00,03:00,03:00,0,11.4,0,16.2,0,14.5,84.5
17/06/2018,34.72,44.59,60.55,71.92,59.48,79.11,30.59,41.35,185.36,218.63,-17.44,10.32,0.91,1.06,120.03,151.02,6,2018,17,6,02:00,15:00,16:00,16:00,16:00,18:00,0.5,10.5,0,20.1,1.5,15.76,82.5
18/06/2018,51.1,63.65,81.48,104.28,98.71,143.83,86.08,151.38,317.51,449.48,132.15,-25.17,1.71,0.93,180.22,248.11,6,2018,18,0,18:00,14:00,15:00,10:00,15:00,15:00,1.3,9,0,22,3.6,16.82,81.5
19/06/2018,55.7,73.35,80.58,115.07,98.45,161.81,88.53,160.37,323.27,484,5.75,-48.18,1.02,0.87,179.07,276.88,6,2018,19,1,18:00,16:00,16:00,15:00,16:00,16:00,2.4,7.6,0,23.3,6.6,17.88,80.5
20/06/2018,56.6,67.96,82.56,115.07,102.05,183.39,90.47,162.53,331.72,518.88,8.45,-41.89,1.03,0.89,184.65,298.45,6,2018,20,2,18:00,15:00,15:00,15:00,15:00,15:00,4.2,5.8,0,25.5,7.7,19.56,66.5
21/06/2018,54.48,64.72,82.38,115.07,106.36,179.79,91.15,166.85,334.41,511.33,2.7,-5.39,1.01,0.98,188.78,294.86,6,2018,21,3,18:00,14:00,14:00,15:00,14:00,15:00,5.1,4.9,0,25.4,7.9,19.84,58
22/06/2018,50.67,62.21,79.86,111.47,101.76,169,90.54,161.81,322.73,490.83,-11.69,-3.6,0.97,0.99,181.59,280.47,6,2018,22,4,18:00,14:00,14:00,14:00,14:00,14:00,4.5,5.5,0,24.6,5.1,19.12,59.75
23/06/2018,37.55,48.9,66.38,82.7,71.59,93.49,38.04,49.98,213.59,252.79,-109.13,10.79,0.66,1.05,138.01,172.6,6,2018,23,5,01:00,12:00,19:00,08:00,19:00,19:00,5.3,4.8,0,26.4,6.8,20.28,60.25
24/06/2018,34.18,43.15,67.75,86.3,75.08,93.49,31.93,35.96,208.92,246.31,-4.67,23.55,0.98,1.13,142.75,179.79,6,2018,24,6,05:00,13:00,13:00,10:00,13:00,18:00,6.2,4.1,0,28.5,7.4,20.72,67
25/06/2018,53.87,71.2,89.72,115.07,116.22,179.79,100.68,170.8,360.48,532.18,151.56,42.97,1.73,1.14,205.86,294.86,6,2018,25,0,14:00,14:00,14:00,13:00,14:00,14:00,6.1,4.3,0,27.2,8.4,21.14,51.25
26/06/2018,55.38,71.2,83.14,107.87,105,165.41,93.67,169.72,337.29,493.71,-23.19,14.02,0.94,1.04,188.24,269.69,6,2018,26,1,18:00,15:00,16:00,16:00,16:00,16:00,5.9,4.1,0,26.5,2.5,21.46,45
27/06/2018,51.28,57.89,82.85,115.07,102.3,169,86.37,156.42,322.91,484,-14.38,-8.81,0.96,0.97,185.19,284.07,6,2018,27,2,01:00,12:00,13:00,09:00,13:00,13:00,2.9,7.1,0,23.4,7.3,18.62,70.75
28/06/2018,56.67,69.4,87.95,118.66,101.76,172.6,92.23,164.33,338.55,510.97,15.64,4.14,1.05,1.01,189.68,291.26,6,2018,28,3,18:00,09:00,14:00,15:00,15:00,15:00,4.9,5.1,0,26,5.2,19.58,70
29/06/2018,57.25,66.52,91.12,118.66,112.12,194.17,90.08,169.72,350.59,538.66,12.05,27.87,1.04,1.09,203.16,312.84,6,2018,29,4,18:00,14:00,14:00,14:00,14:00,14:00,5.4,4.6,0,26.4,8.5,20.06,57.5
30/06/2018,37.54,52.86,71.92,86.3,66.52,82.7,37.06,48.18,213.05,246.31,-137.54,-0.54,0.61,1,138.44,165.41,6,2018,30,5,02:00,14:00,06:00,10:00,14:00,06:00,5.2,4.8,0,26.8,6.6,20.18,72
01/07/2018,33.37,44.23,69.54,79.11,63.68,79.11,31.8,38.83,198.31,234.09,-14.74,-10.61,0.93,0.95,133.23,158.22,7,2018,1,6,00:00,04:00,14:00,16:00,14:00,04:00,4.6,5.6,0,27.4,7.9,20.54,61.5
